,country,time-period,sector,energy-type,value(KTOE)
323,Netherlands,2018,transport,Electricity,172.17
324,Netherlands,2019,transport,Electricity,185.564
325,Netherlands,2020,transport,Electricity,186.227
326,Norway,2009,transport,Electricity,56.75
327,Norway,2010,transport,Electricity,49.011
328,Norway,2011,transport,Electricity,46.862
329,Norway,2012,transport,Electricity,53.482
330,Norway,2013,transport,Electricity,54.342
331,Norway,2014,transport,Electricity,56.234
332,Norway,2015,transport,Electricity,68.272
333,Norway,2016,transport,Electricity,77.472
334,Norway,2017,transport,Electricity,85.383
335,Norway,2018,transport,Electricity,105.163
336,Norway,2019,transport,Electricity,124.334
337,Norway,2020,transport,Electricity,142.042
338,Poland,2009,transport,Electricity,276.87
339,Poland,2010,transport,Electricity,287.016
340,Poland,2011,transport,Electricity,285.211
341,Poland,2012,transport,Electricity,275.15
342,Poland,2013,transport,Electricity,271.367
343,Poland,2014,transport,Electricity,258.555
344,Poland,2015,transport,Electricity,267.154
345,Poland,2016,transport,Electricity,282.631
346,Poland,2017,transport,Electricity,285.98
347,Poland,2018,transport,Electricity,298.312
348,Poland,2019,transport,Electricity,293.481
349,Poland,2020,transport,Electricity,272.905
350,Portugal,2009,transport,Electricity,41.531
351,Portugal,2010,transport,Electricity,40.843
352,Portugal,2011,transport,Electricity,34.738
353,Portugal,2012,transport,Electricity,34.48
354,Portugal,2013,transport,Electricity,25.881
355,Portugal,2014,transport,Electricity,25.967
356,Portugal,2015,transport,Electricity,26.483
357,Portugal,2016,transport,Electricity,37.115
358,Portugal,2017,transport,Electricity,41.74
359,Portugal,2018,transport,Electricity,42.181
360,Portugal,2019,transport,Electricity,42.515
361,Portugal,2020,transport,Electricity,36.962
362,Romania,2009,transport,Electricity,118.917
363,Romania,2010,transport,Electricity,116.509
364,Romania,2011,transport,Electricity,122.442
365,Romania,2012,transport,Electricity,105.589
366,Romania,2013,transport,Electricity,96.819
367,Romania,2014,transport,Electricity,91.316
368,Romania,2015,transport,Electricity,93.035
369,Romania,2016,transport,Electricity,90.112
370,Romania,2017,transport,Electricity,93.655
371,Romania,2018,transport,Electricity,90.824
372,Romania,2019,transport,Electricity,91.156
373,Romania,2020,transport,Electricity,93.4
374,Serbia,2009,transport,Electricity,43.164
375,Serbia,2010,transport,Electricity,19.261
376,Serbia,2011,transport,Electricity,45.486
377,Serbia,2012,transport,Electricity,42.304
378,Serbia,2013,transport,Electricity,41.101
379,Serbia,2014,transport,Electricity,28.891
380,Serbia,2015,transport,Electricity,30.181
381,Serbia,2016,transport,Electricity,30.267
382,Serbia,2017,transport,Electricity,32.22
383,Serbia,2018,transport,Electricity,32.217
384,Serbia,2019,transport,Electricity,32.225
385,Serbia,2020,transport,Electricity,30.767
386,Sweden,2009,transport,Electricity,209.63
387,Sweden,2010,transport,Electricity,206.707
388,Sweden,2011,transport,Electricity,226.999
389,Sweden,2012,transport,Electricity,230.868
390,Sweden,2013,transport,Electricity,236.457
391,Sweden,2014,transport,Electricity,224.85
392,Sweden,2015,transport,Electricity,223.13
393,Sweden,2016,transport,Electricity,229.063
394,Sweden,2017,transport,Electricity,212.898
395,Sweden,2018,transport,Electricity,221.238
396,Sweden,2019,transport,Electricity,235.426
397,Sweden,2020,transport,Electricity,237.059
398,Slovenia,2009,transport,Electricity,13.414
399,Slovenia,2010,transport,Electricity,14.875
400,Slovenia,2011,transport,Electricity,14.101
401,Slovenia,2012,transport,Electricity,13.672
402,Slovenia,2013,transport,Electricity,13.242
403,Slovenia,2014,transport,Electricity,11.694
404,Slovenia,2015,transport,Electricity,13.07
405,Slovenia,2016,transport,Electricity,14.273
406,Slovenia,2017,transport,Electricity,20.012
407,Slovenia,2018,transport,Electricity,20.047
408,Slovenia,2019,transport,Electricity,19.864
409,Slovenia,2020,transport,Electricity,18.038
410,Slovakia,2009,transport,Electricity,43.25
411,Slovakia,2010,transport,Electricity,46.26
412,Slovakia,2011,transport,Electricity,46.088
413,Slovakia,2012,transport,Electricity,48.151
414,Slovakia,2013,transport,Electricity,48.753
415,Slovakia,2014,transport,Electricity,49.355
416,Slovakia,2015,transport,Electricity,51.763
417,Slovakia,2016,transport,Electricity,52.193
418,Slovakia,2017,transport,Electricity,50.387
419,Slovakia,2018,transport,Electricity,50.559
420,Slovakia,2019,transport,Electricity,45.572
421,Slovakia,2020,transport,Electricity,43.422
422,Turkey,2009,transport,Electricity,47.807
423,Turkey,2010,transport,Electricity,50.817
424,Turkey,2011,transport,Electricity,56.492
425,Turkey,2012,transport,Electricity,68.702
426,Turkey,2013,transport,Electricity,71.023
427,Turkey,2014,transport,Electricity,78.762
428,Turkey,2015,transport,Electricity,91.316
429,Turkey,2016,transport,Electricity,99.398
430,Turkey,2017,transport,Electricity,111.111
431,Turkey,2018,transport,Electricity,116.081
432,Turkey,2019,transport,Electricity,135.646
433,Turkey,2020,transport,Electricity,123.442
434,Ukraine,2009,transport,Electricity,786.242
435,Ukraine,2010,transport,Electricity,771.453
436,Ukraine,2011,transport,Electricity,850.129
437,Ukraine,2012,transport,Electricity,797.85
438,Ukraine,2013,transport,Electricity,747.206
439,Ukraine,2014,transport,Electricity,694.067
440,Ukraine,2015,transport,Electricity,585.297
441,Ukraine,2016,transport,Electricity,584.351
442,Ukraine,2017,transport,Electricity,605.675
443,Ukraine,2018,transport,Electricity,597.713
444,Ukraine,2019,transport,Electricity,567.782
445,Ukraine,2020,transport,Electricity,491.187
446,United Kingdom,2009,transport,Electricity,347.377
447,United Kingdom,2010,transport,Electricity,349.699
